@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute landmarks-1 numeric
@attribute landmarks-2 numeric
@attribute landmarks-3 numeric
@attribute landmarks-4 numeric
@attribute landmarks-5 numeric
@attribute landmarks-6 numeric
@attribute landmarks-7 numeric
@attribute landmarks-8 numeric
@attribute landmarks-9 numeric
@attribute landmarks-10 numeric
@attribute landmarks-11 numeric
@attribute landmarks-12 numeric
@attribute landmarks-13 numeric
@attribute landmarks-14 numeric
@attribute landmarks-15 numeric
@attribute landmarks-16 numeric
@attribute landmarks-17 numeric
@attribute landmarks-18 numeric
@attribute landmarks-19 numeric
@attribute landmarks-20 numeric
@attribute landmarks-21 numeric
@attribute landmarks-22 numeric
@attribute landmarks-23 numeric
@attribute landmarks-24 numeric
@attribute landmarks-25 numeric
@attribute landmarks-26 numeric
@attribute landmarks-27 numeric
@attribute landmarks-28 numeric
@attribute landmarks-29 numeric
@attribute landmarks-30 numeric
@attribute landmarks-31 numeric
@attribute landmarks-32 numeric
@attribute landmarks-33 numeric
@attribute landmarks-34 numeric
@attribute landmarks-35 numeric
@attribute landmarks-36 numeric
@attribute landmarks-37 numeric
@attribute landmarks-38 numeric
@attribute landmarks-39 numeric
@attribute landmarks-40 numeric
@attribute landmarks-41 numeric
@attribute landmarks-42 numeric
@attribute landmarks-43 numeric
@attribute landmarks-44 numeric
@attribute landmarks-45 numeric
@attribute landmarks-46 numeric
@attribute landmarks-47 numeric
@attribute landmarks-48 numeric
@attribute landmarks-49 numeric
@attribute landmarks-50 numeric
@attribute landmarks-51 numeric
@attribute landmarks-52 numeric
@attribute landmarks-53 numeric
@attribute landmarks-54 numeric
@attribute landmarks-55 numeric
@attribute landmarks-56 numeric
@attribute landmarks-57 numeric
@attribute landmarks-58 numeric
@attribute landmarks-59 numeric
@attribute landmarks-60 numeric
@attribute landmarks-61 numeric
@attribute landmarks-62 numeric
@attribute landmarks-63 numeric
@attribute outputs-1 numeric

@data
11,'2021/06/23 12:55:27:834',1,597.037842,382.361664,0.00029,523.699646,369.785889,-12.593406,462.444977,316.526215,-21.017271,449.501709,247.033615,-30.066183,484.038696,199.107956,-36.551136,506.82843,224.339828,4.496534,482.993347,181.819748,-21.029026,485.879456,238.421097,-32.290295,499.223877,281.574921,-29.139803,548.029053,219.98967,2.682473,528.918701,178.85173,-26.086102,534.506104,258.359283,-36.62999,549.118225,296.911591,-32.939651,592.212769,221.363022,-3.137864,573.358704,191.048645,-27.855854,575.958618,264.493011,-33.39682,587.855652,295.684601,-27.671492,638.494141,227.949066,-9.958111,619.828796,205.265442,-26.210794,612.392029,253.556778,-27.623753,617.054382,281.306152,-21.853741,0.14
12,'2021/06/23 12:55:27:838',1,597.479309,375.398407,0.000022,520.117798,363.983612,-7.581629,461.470276,313.349792,-12.218979,442.26886,252.828232,-18.34491,469.771545,210.458878,-23.59182,511.926727,229.079254,10.06459,485.517487,182.902481,-10.544056,488.241943,237.189743,-23.769148,502.983887,276.94455,-25.61565,547.593933,223.608261,7.650961,527.569763,172.581223,-15.207952,527.740051,243.812592,-30.210144,541.319458,284.417755,-32.737114,587.283508,222.987976,2.089679,569.28418,177.755219,-17.594481,566.578064,243.959244,-27.272276,577.240417,280.295929,-26.298403,631.982056,229.116379,-3.997806,613.443909,193.566757,-18.81575,602.540283,235.310577,-24.172585,605.504395,267.697205,-23.087574,0.14
13,'2021/06/23 12:55:28:589',1,593.010864,377.373505,-0.000639,517.826355,366.491516,-4.833665,467.877441,313.067322,-6.445473,445.310333,257.459259,-10.987596,450.380554,219.058212,-16.707241,514.57843,234.152863,18.477669,495.172211,183.0047,2.32315,487.194855,222.007111,-13.226037,490.545868,259.957184,-18.667311,549.622498,226.135315,15.094878,535.688232,167.94632,-3.916355,521.193787,223.852722,-23.541399,524.655334,268.248322,-30.698444,589.202698,225.090408,8.902692,577.382019,172.346588,-6.17025,559.606323,221.85289,-20.961437,559.476196,263.288269,-25.432079,633.955566,233.090942,2.399769,622.023193,190.368256,-9.708083,601.298828,216.873611,-18.262959,593.736023,251.510651,-20.642382,0.22
14,'2021/06/23 12:55:28:594',1,593.450623,383.400848,-0.000849,513.595154,367.919189,-6.634628,461.458923,312.515594,-8.009002,438.305817,256.259247,-11.603093,444.145569,217.776184,-16.231634,511.346069,230.079514,18.391592,492.70459,173.341843,2.912038,487.12912,210.594193,-13.140769,490.377533,249.715088,-18.904284,547.932312,224.625473,16.598574,539.060425,158.554077,-1.90501,525.364441,213.158295,-21.393194,526.265198,260.253418,-27.91556,588.665771,225.926376,11.672489,585.382874,166.665787,-3.940905,566.985962,217.067276,-19.693695,563.745178,261.530243,-24.134027,636.683899,236.894714,6.285363,630.617371,189.498535,-5.995084,608.486694,216.62886,-15.354516,597.51593,254.353806,-18.057106,0.23
15,'2021/06/23 12:55:29:052',1,593.093262,384.115173,-0.000797,513.885803,368.788788,-7.109054,461.691101,312.950653,-8.747199,438.611755,256.868378,-12.520833,444.490082,218.973969,-17.300634,511.601318,228.956833,17.230503,492.983826,173.179321,0.951738,488.028839,210.880753,-14.99329,491.697754,249.336929,-20.296272,548.377563,223.675781,15.559947,538.872681,159.105392,-3.550238,525.850769,214.232147,-22.780237,527.201172,260.225464,-28.949736,589.212219,225.453247,10.702744,585.018066,167.308945,-5.445933,567.052124,218.140549,-20.986374,564.467834,261.860596,-25.210588,637.112061,237.025894,5.357716,630.3974,190.170334,-7.345794,608.224609,217.589157,-16.622313,597.779358,254.991394,-19.203133,0.28
16,'2021/06/23 12:55:29:060',1,602.672729,373.287689,-0.001171,525.025818,361.956512,3.140365,479.770233,317.934265,8.22051,454.395935,272.528015,9.783132,441.271698,232.276352,9.966639,524.540344,238.401917,37.750809,506.236389,192.486893,31.996622,486.451202,175.105103,15.879152,466.844086,181.128265,5.674007,563.776672,219.185837,32.01833,552.357605,163.376617,27.281977,524.698547,154.687561,5.751627,501.18222,175.848221,-7.895102,604.116516,210.809402,23.647491,601.780396,152.515396,19.682844,570.097046,145.992691,1.932947,544.31073,168.57782,-9.05337,647.364441,212.413605,15.06111,640.652405,165.171387,11.571849,616.335266,153.309982,2.435792,589.937073,166.004959,-4.599835,0.28
17,'2021/06/23 12:55:29:584',1,604.257446,376.071899,-0.001078,527.719604,367.340302,-0.721589,475.684021,319.592834,2.055164,445.886536,267.683319,2.628228,431.743744,220.849792,2.417823,525.440247,235.2444,28.162729,505.91571,187.178925,26.995176,488.859375,164.17955,18.220432,471.026642,160.548401,12.09597,568.609924,218.891464,24.708946,556.395325,162.810532,24.899014,533.585815,143.881195,12.217343,510.620819,150.708664,3.404428,610.562744,214.314697,18.646206,607.720154,155.032135,18.127533,582.463135,137.635132,6.841652,557.085449,145.924713,-0.957005,654.007385,220.806549,11.867914,649.499878,169.410568,10.740024,629.763489,149.061005,5.181101,605.199585,149.380432,0.527464,0.39
18,'2021/06/23 12:55:29:587',1,610.983154,363.361298,-0.000869,532.148804,365.282043,-3.621479,479.77832,322.222443,-2.160968,452.132568,272.777374,-2.14766,435.628052,231.804016,-2.562174,527.257629,236.479813,20.168049,505.582092,183.58284,24.040493,489.104919,154.466309,25.601101,474.194641,136.44487,26.279003,573.149475,219.257553,19.585506,555.849792,162.821304,25.308857,534.36853,130.334183,24.575397,513.375061,113.1371,23.559837,616.115417,214.668716,16.486555,605.736694,159.221176,20.102852,585.163696,129.491165,17.636024,563.470703,114.148857,15.305342,659.624268,220.337128,12.301779,654.542114,171.120636,13.46306,640.854736,143.739548,11.942436,623.045349,125.931061,10.776221,0.39
19,'2021/06/23 12:55:30:295',1,607.559265,377.121277,-0.000877,532.090881,373.042419,-1.865666,478.818024,324.37912,-0.085199,447.950195,271.31546,0.191006,427.541931,230.332901,-0.023161,527.945618,235.43454,18.607449,504.829895,176.979156,23.40798,488.929352,144.88385,25.993603,474.146393,123.267448,27.244591,574.596497,218.321793,17.614614,554.482056,155.783279,23.247332,534.869019,123.941132,23.392788,516.187927,107.347916,23.250462,618.347107,214.416245,14.598057,604.537598,151.456894,17.760897,582.868408,122.187103,16.173908,561.379089,107.693604,14.848141,662.677246,221.164673,10.796291,656.554932,167.955917,12.101108,642.292236,141.692047,11.541738,624.529968,123.5242,11.300018,0.53
20,'2021/06/23 12:55:30:301',1,615.187622,375.370239,-0.000844,533.956055,368.378082,-0.91785,482.717987,320.799744,2.356992,453.186646,270.362793,3.546506,431.412689,228.006302,4.062044,537.218811,236.736404,24.680492,515.048706,182.840454,31.476919,498.408691,148.521927,34.550163,481.994904,123.47821,35.788708,582.82074,220.908966,23.185509,564.4245,161.720795,31.613237,543.669678,124.460999,31.96068,522.806763,101.827492,31.639769,625.299072,216.670273,19.301208,612.847168,157.100281,24.957071,591.088196,122.317619,23.744356,567.893188,102.26754,22.289345,668.427551,221.509552,14.403336,662.332947,170.726746,17.296879,649.032898,140.346436,17.080147,631.543457,117.446686,16.879257,0.53
