@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute light-1 numeric
@attribute outputs-1 numeric

@data
490,'2021/06/23 13:15:52:048',3,288.562042,1
491,'2021/06/23 13:15:52:105',3,288.649628,1
492,'2021/06/23 13:15:52:166',3,288.719696,1
493,'2021/06/23 13:15:52:226',3,288.775757,1
494,'2021/06/23 13:15:52:286',3,288.820618,1
495,'2021/06/23 13:15:52:346',3,288.856506,1
496,'2021/06/23 13:15:52:467',3,288.885193,1
497,'2021/06/23 13:15:52:467',3,288.908142,1
498,'2021/06/23 13:15:52:528',3,288.926514,1
499,'2021/06/23 13:15:52:589',3,288.941223,1
500,'2021/06/23 13:15:52:646',3,288.952972,1
501,'2021/06/23 13:15:52:707',3,288.962372,1
502,'2021/06/23 13:15:52:765',3,288.96991,1
503,'2021/06/23 13:15:52:827',3,288.975922,1
504,'2021/06/23 13:15:52:887',3,288.980743,1
505,'2021/06/23 13:15:52:970',3,288.984589,1
506,'2021/06/23 13:15:53:060',3,288.987671,1
507,'2021/06/23 13:15:53:067',3,288.990143,1
508,'2021/06/23 13:15:53:126',3,288.992126,1
509,'2021/06/23 13:15:53:192',3,288.993713,1
510,'2021/06/23 13:15:53:295',3,288.994965,1
511,'2021/06/23 13:15:53:306',3,288.795959,1
512,'2021/06/23 13:15:53:367',3,288.63678,1
513,'2021/06/23 13:15:53:426',3,288.709412,1
514,'2021/06/23 13:15:53:488',3,288.767517,1
515,'2021/06/23 13:15:53:548',3,288.814026,1
516,'2021/06/23 13:15:53:606',3,288.851227,1
517,'2021/06/23 13:15:53:753',3,288.880981,1
518,'2021/06/23 13:15:53:753',3,288.904785,1
519,'2021/06/23 13:15:53:786',3,288.323822,1
520,'2021/06/23 13:15:53:847',3,287.85907,1
521,'2021/06/23 13:15:53:908',3,287.887268,1
522,'2021/06/23 13:15:53:968',3,287.909821,1
523,'2021/06/23 13:15:54:026',3,287.927856,1
524,'2021/06/23 13:15:54:085',3,287.942291,1
525,'2021/06/23 13:15:54:146',3,287.953827,1
526,'2021/06/23 13:15:54:208',3,287.963074,1
527,'2021/06/23 13:15:54:266',3,287.970459,1
528,'2021/06/23 13:15:54:329',3,287.976379,1
529,'2021/06/23 13:15:54:387',3,287.98111,1
530,'2021/06/23 13:15:54:463',3,287.984894,1
531,'2021/06/23 13:15:54:507',3,287.587921,1
532,'2021/06/23 13:15:54:566',3,287.270325,1
533,'2021/06/23 13:15:54:629',3,287.016266,1
