@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute light-1 numeric
@attribute outputs-1 numeric

@data
112,'2021/06/23 13:15:24:205',1,259.83609,0.76
113,'2021/06/23 13:15:24:286',1,261.26886,0.79
114,'2021/06/23 13:15:24:326',1,262.615082,0.81
115,'2021/06/23 13:15:24:392',1,263.692078,0.83
116,'2021/06/23 13:15:24:456',1,264.55365,0.86
117,'2021/06/23 13:15:24:508',1,265.24292,0.9
118,'2021/06/23 13:15:24:566',1,265.794342,0.93
119,'2021/06/23 13:15:24:627',1,266.235474,0.97
120,'2021/06/23 13:15:24:688',1,266.788391,0.97
121,'2021/06/23 13:15:24:748',1,267.230713,0.97
122,'2021/06/23 13:15:24:807',1,267.784576,0.99
123,'2021/06/23 13:15:24:887',1,268.227661,1
124,'2021/06/23 13:15:24:994',1,268.982117,1
125,'2021/06/23 13:15:24:995',1,269.585693,1
126,'2021/06/23 13:15:25:046',1,270.668549,1
127,'2021/06/23 13:15:25:105',1,271.534851,1
128,'2021/06/23 13:15:25:166',1,272.227875,1
129,'2021/06/23 13:15:25:228',1,272.782288,1
130,'2021/06/23 13:15:25:288',1,273.22583,1
131,'2021/06/23 13:15:25:346',1,273.580658,1
132,'2021/06/23 13:15:25:408',1,273.864532,1
133,'2021/06/23 13:15:25:466',1,274.091614,1
134,'2021/06/23 13:15:25:526',1,274.273285,1
135,'2021/06/23 13:15:25:586',1,274.41864,1
136,'2021/06/23 13:15:25:648',1,274.534912,1
137,'2021/06/23 13:15:25:711',1,274.62793,1
138,'2021/06/23 13:15:25:767',1,274.702332,1
139,'2021/06/23 13:15:25:827',1,274.761871,1
140,'2021/06/23 13:15:25:891',1,274.809509,1
141,'2021/06/23 13:15:25:979',1,274.847595,1
142,'2021/06/23 13:15:26:006',1,274.878082,1
143,'2021/06/23 13:15:26:067',1,274.902466,1
144,'2021/06/23 13:15:26:169',1,274.921967,1
145,'2021/06/23 13:15:26:190',1,274.937561,1
146,'2021/06/23 13:15:26:246',1,274.950043,1
147,'2021/06/23 13:15:26:308',1,274.960022,1
148,'2021/06/23 13:15:26:365',1,275.16803,1
149,'2021/06/23 13:15:26:457',1,275.334412,1
150,'2021/06/23 13:15:26:490',1,275.467529,1
151,'2021/06/23 13:15:26:547',1,275.574036,1
152,'2021/06/23 13:15:26:608',1,275.659241,1
153,'2021/06/23 13:15:26:675',1,275.727386,1
154,'2021/06/23 13:15:26:728',1,275.781921,1
155,'2021/06/23 13:15:26:868',1,275.825531,1
156,'2021/06/23 13:15:26:869',1,275.660431,1
157,'2021/06/23 13:15:26:906',1,275.528351,1
158,'2021/06/23 13:15:26:966',1,275.422668,1
159,'2021/06/23 13:15:27:026',1,275.338135,1
160,'2021/06/23 13:15:27:109',1,275.270508,1
161,'2021/06/23 13:15:27:148',1,275.2164,1
162,'2021/06/23 13:15:27:205',1,275.173126,1
163,'2021/06/23 13:15:27:266',1,275.138489,1
164,'2021/06/23 13:15:27:326',1,275.110779,1
165,'2021/06/23 13:15:27:461',1,275.088623,1
166,'2021/06/23 13:15:27:461',1,275.070892,1
167,'2021/06/23 13:15:27:506',1,275.056702,1
168,'2021/06/23 13:15:27:567',1,275.245361,1
169,'2021/06/23 13:15:27:649',1,275.396301,1
170,'2021/06/23 13:15:27:686',1,275.517029,1
171,'2021/06/23 13:15:27:745',1,275.613617,1
172,'2021/06/23 13:15:27:807',1,275.690887,1
173,'2021/06/23 13:15:27:871',1,275.752716,1
174,'2021/06/23 13:15:27:929',1,275.602173,1
175,'2021/06/23 13:15:27:986',1,275.48175,1
176,'2021/06/23 13:15:28:046',1,275.385406,1
177,'2021/06/23 13:15:28:157',1,275.308319,1
178,'2021/06/23 13:15:28:167',1,275.246643,1
179,'2021/06/23 13:15:28:227',1,275.197327,1
180,'2021/06/23 13:15:28:311',1,275.157867,1
181,'2021/06/23 13:15:28:346',1,275.126282,1
182,'2021/06/23 13:15:28:406',1,275.101013,1
183,'2021/06/23 13:15:28:467',1,275.080811,1
184,'2021/06/23 13:15:28:525',1,274.864655,1
185,'2021/06/23 13:15:28:587',1,274.691711,1
186,'2021/06/23 13:15:28:647',1,274.553375,1
187,'2021/06/23 13:15:28:706',1,274.442688,1
188,'2021/06/23 13:15:28:766',1,274.354156,1
189,'2021/06/23 13:15:28:828',1,274.283325,1
190,'2021/06/23 13:15:28:886',1,274.226654,1
191,'2021/06/23 13:15:28:945',1,274.181335,1
192,'2021/06/23 13:15:29:006',1,274.145081,1
193,'2021/06/23 13:15:31:296',2,275.015808,1
194,'2021/06/23 13:15:31:347',2,275.012634,1
195,'2021/06/23 13:15:31:412',2,275.210114,1
196,'2021/06/23 13:15:31:469',2,275.368103,1
197,'2021/06/23 13:15:31:526',2,275.494476,1
198,'2021/06/23 13:15:31:588',2,275.595581,1
199,'2021/06/23 13:15:31:650',2,275.876465,1
200,'2021/06/23 13:15:31:705',2,276.101166,1
201,'2021/06/23 13:15:31:766',2,276.280945,1
202,'2021/06/23 13:15:31:826',2,276.424744,1
203,'2021/06/23 13:15:31:885',2,276.539795,1
204,'2021/06/23 13:15:31:983',2,276.431824,1
205,'2021/06/23 13:15:32:006',2,276.345459,1
206,'2021/06/23 13:15:32:066',2,275.476379,1
207,'2021/06/23 13:15:32:127',2,274.781097,1
208,'2021/06/23 13:15:32:186',2,273.82489,1
209,'2021/06/23 13:15:32:245',2,273.059906,1
210,'2021/06/23 13:15:32:306',2,272.847931,1
211,'2021/06/23 13:15:32:367',2,272.678345,1
212,'2021/06/23 13:15:32:426',2,272.542664,1
213,'2021/06/23 13:15:32:487',2,272.434143,1
214,'2021/06/23 13:15:32:584',2,272.747314,1
215,'2021/06/23 13:15:32:607',2,272.997864,1
216,'2021/06/23 13:15:32:668',2,273.198303,1
217,'2021/06/23 13:15:32:728',2,273.358643,1
218,'2021/06/23 13:15:32:787',2,273.68692,1
219,'2021/06/23 13:15:32:846',2,273.949524,1
220,'2021/06/23 13:15:32:908',2,274.159607,1
221,'2021/06/23 13:15:32:968',2,274.327698,1
222,'2021/06/23 13:15:33:026',2,274.66217,1
223,'2021/06/23 13:15:33:110',2,274.929749,1
224,'2021/06/23 13:15:33:145',2,275.143799,1
225,'2021/06/23 13:15:33:278',2,275.315033,1
226,'2021/06/23 13:15:33:279',2,275.85202,1
227,'2021/06/23 13:15:33:332',2,276.281616,1
228,'2021/06/23 13:15:33:391',2,276.825287,1
229,'2021/06/23 13:15:33:447',2,277.260223,1
230,'2021/06/23 13:15:33:509',2,278.208191,1
231,'2021/06/23 13:15:33:570',2,278.966553,1
232,'2021/06/23 13:15:33:634',2,279.573242,1
233,'2021/06/23 13:15:33:686',2,280.058594,1
234,'2021/06/23 13:15:33:746',2,280.446869,0.99
235,'2021/06/23 13:15:33:806',2,280.757507,0.97
236,'2021/06/23 13:15:33:869',2,281.006012,0.95
237,'2021/06/23 13:15:33:927',2,281.204803,0.94
238,'2021/06/23 13:15:33:987',2,281.563843,0.94
239,'2021/06/23 13:15:34:054',2,281.851074,0.93
240,'2021/06/23 13:15:34:106',2,281.880859,0.93
241,'2021/06/23 13:15:34:166',2,281.904694,0.92
242,'2021/06/23 13:15:34:227',2,280.723755,0.91
243,'2021/06/23 13:15:34:299',2,279.778992,0.89
244,'2021/06/23 13:15:34:360',2,277.623199,0.89
245,'2021/06/23 13:15:34:409',2,275.89856,0.89
246,'2021/06/23 13:15:34:495',2,273.318848,0.89
247,'2021/06/23 13:15:34:529',2,271.255066,0.88
248,'2021/06/23 13:15:34:597',2,268.404053,0.87
249,'2021/06/23 13:15:34:728',2,266.12323,0.85
250,'2021/06/23 13:15:34:728',2,263.298584,0.85
251,'2021/06/23 13:15:34:789',2,261.038879,0.85
252,'2021/06/23 13:15:34:836',2,257.831116,0.85
253,'2021/06/23 13:15:34:886',2,255.264893,0.85
254,'2021/06/23 13:15:34:948',2,250.411911,0.85
255,'2021/06/23 13:15:35:027',2,246.529526,0.84
256,'2021/06/23 13:15:35:069',2,236.423615,0.83
257,'2021/06/23 13:15:35:145',2,228.338898,0.82
258,'2021/06/23 13:15:35:266',2,219.871124,0.81
259,'2021/06/23 13:15:35:269',2,213.096893,0.81
260,'2021/06/23 13:15:35:307',2,205.677521,0.8
261,'2021/06/23 13:15:35:385',2,199.74202,0.79
262,'2021/06/23 13:15:35:427',2,192.993622,0.79
263,'2021/06/23 13:15:35:487',2,187.594894,0.79
264,'2021/06/23 13:15:35:546',2,181.475922,0.77
265,'2021/06/23 13:15:35:607',2,176.580734,0.75
266,'2021/06/23 13:15:35:666',2,170.864594,0.75
267,'2021/06/23 13:15:35:726',2,166.291672,0.74
268,'2021/06/23 13:15:35:787',2,160.833344,0.72
269,'2021/06/23 13:15:35:848',2,156.466675,0.7
270,'2021/06/23 13:15:35:906',2,150.573334,0.66
271,'2021/06/23 13:15:35:979',2,145.858673,0.66
272,'2021/06/23 13:15:36:025',2,140.486938,0.66
273,'2021/06/23 13:15:36:093',2,136.189545,0.5
274,'2021/06/23 13:15:36:147',2,131.351639,0.45
275,'2021/06/23 13:15:36:206',2,127.481308,0.45
276,'2021/06/23 13:15:36:266',2,123.385048,0.38
277,'2021/06/23 13:15:36:325',2,120.10804,0.36
278,'2021/06/23 13:15:36:410',2,116.886429,0.34
279,'2021/06/23 13:15:36:445',2,114.309143,0.33
280,'2021/06/23 13:15:36:506',2,110.247314,0.3
281,'2021/06/23 13:15:36:566',2,106.997849,0.3
282,'2021/06/23 13:15:36:627',2,102.598282,0.22
283,'2021/06/23 13:15:36:686',2,99.078629,0.2
284,'2021/06/23 13:15:36:746',2,94.262901,0.16
285,'2021/06/23 13:15:36:808',2,90.410324,0.16
286,'2021/06/23 13:15:36:866',2,86.128258,0.08
287,'2021/06/23 13:15:36:925',2,82.702606,0.07
288,'2021/06/23 13:15:36:987',2,78.762085,0.07
289,'2021/06/23 13:15:37:109',2,75.609665,0.05
290,'2021/06/23 13:15:37:109',2,71.08773,0.05
291,'2021/06/23 13:15:37:167',2,67.470184,0.05
292,'2021/06/23 13:15:37:227',2,61.376148,0.05
293,'2021/06/23 13:15:37:286',2,56.500919,0.05
294,'2021/06/23 13:15:37:347',2,51.000736,0.05
295,'2021/06/23 13:15:37:406',2,46.60059,0.05
296,'2021/06/23 13:15:37:468',2,42.680473,0.05
297,'2021/06/23 13:15:37:528',2,39.54438,0.05
298,'2021/06/23 13:15:37:602',2,36.835503,0.05
299,'2021/06/23 13:15:37:700',2,34.668404,0.05
300,'2021/06/23 13:15:37:706',2,32.934723,0.05
301,'2021/06/23 13:15:37:765',2,31.547779,0.05
302,'2021/06/23 13:15:37:827',2,30.438223,0.05
303,'2021/06/23 13:15:37:908',2,29.550579,0.05
304,'2021/06/23 13:15:37:946',2,28.640463,0.05
305,'2021/06/23 13:15:38:006',2,27.912371,0.05
306,'2021/06/23 13:15:38:066',2,27.329897,0.05
307,'2021/06/23 13:15:38:132',2,26.863918,0.05
308,'2021/06/23 13:15:38:186',2,26.491135,0.05
309,'2021/06/23 13:15:38:249',2,26.192907,0.05
310,'2021/06/23 13:15:38:395',2,25.954327,0.05
311,'2021/06/23 13:15:38:395',2,25.763462,0.05
312,'2021/06/23 13:15:38:426',2,25.41077,0.05
313,'2021/06/23 13:15:38:494',2,25.128616,0.03
314,'2021/06/23 13:15:38:554',2,24.902893,0.03
315,'2021/06/23 13:15:38:623',2,24.722315,0.03
316,'2021/06/23 13:15:38:673',2,24.577852,0
317,'2021/06/23 13:15:38:726',2,24.462282,0
318,'2021/06/23 13:15:38:787',2,24.369825,0
319,'2021/06/23 13:15:38:847',2,24.29586,0
320,'2021/06/23 13:15:38:906',2,24.036688,0
321,'2021/06/23 13:15:38:971',2,23.82935,0
322,'2021/06/23 13:15:39:026',2,23.663479,0
323,'2021/06/23 13:15:39:086',2,23.530783,0
324,'2021/06/23 13:15:39:146',2,23.224627,0
325,'2021/06/23 13:15:39:206',2,22.979702,0
326,'2021/06/23 13:15:39:267',2,22.783762,0
327,'2021/06/23 13:15:39:339',2,22.62701,0
328,'2021/06/23 13:15:39:404',2,22.501608,0
329,'2021/06/23 13:15:39:449',2,22.401287,0
330,'2021/06/23 13:15:39:507',2,22.32103,0
331,'2021/06/23 13:15:39:567',2,22.256824,0
332,'2021/06/23 13:15:39:625',2,22.20546,0
333,'2021/06/23 13:15:39:687',2,22.164368,0
334,'2021/06/23 13:15:39:745',2,22.131495,0
335,'2021/06/23 13:15:39:811',2,22.105196,0
336,'2021/06/23 13:15:39:867',2,21.884157,0
